DOW MON DY HH:MM:SS YYYY UTC-OFFSET  EVTTYPE    POINT   MMI   STATE          DESCRIPTION
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:09:18 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:09:30 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:12:06 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:18:24 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:25:29 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:25:30 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Thu Jan 01 00:25:45 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:25:45 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:26:13 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:26:51 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:27:27 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:27:42 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:27:43 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Thu Jan 01 00:27:53 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:30:06 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:30:07 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:38:58 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:38:58 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Thu Jan 01 00:42:50 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:42:50 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:42:59 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:03:13 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:03:13 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:14 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:03:18 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:18 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:08:56 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:08:57 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:10:29 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:10:36 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:16:12 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:16:15 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:36:39 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:36:39 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:36:40 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Thu Jan 01 00:41:24 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:41:24 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:41:44 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:42:00 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:42:02 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 01:19:20 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 01:19:20 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 01:24:19 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 01:24:20 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 01:24:21 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Thu Jan 01 01:28:05 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 01:28:05 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 01:28:25 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 01:44:36 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:03:11 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:11 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:03:16 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:03:13 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:13 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:03:17 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:05:43 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 01:59:49 1970(UTC+00:00)  VELEVENT   05034   001   Clear          High Return Humidity
Sat Jan 03 07:09:40 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Sat Jan 03 07:09:41 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Sat Jan 03 08:10:49 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Sat Jan 03 08:10:49 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Sat Jan 03 23:04:13 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Sun Jan 04 21:22:50 1970(UTC+00:00)  VELEVENT   05034   001   Clear          High Return Humidity
Sun Jan 04 21:33:58 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Sun Jan 04 23:13:45 1970(UTC+00:00)  VELEVENT   05034   001   Clear          High Return Humidity
Sun Jan 04 23:21:37 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Mon Jan 05 20:48:21 1970(UTC+00:00)  VELEVENT   05034   001   Clear          High Return Humidity
Mon Jan 05 20:55:02 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:03:12 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:13 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:03:18 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Sat Jan 03 06:04:43 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Thu Jan 01 00:03:14 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:14 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:03:18 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:58:38 1970(UTC+00:00)  VELEVENT   05034   001   Warning        High Return Humidity
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:03:14 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:14 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:03:18 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:03:15 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:15 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:03:19 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:24 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
